UF,ano,qtd_caps,gini,ivs,anos_estudo,ppc_685,taxa_desemprego,renda_mdpc,taxa_suicidio
11,2014,3.0,0.443,0.176,7.7,580285,4.25,1230.2830775091975,5.0359712230215825
11,2015,5.0,0.462,0.206,8.08,630481,5.65,1224.803031596455,6.457345971563981
11,2016,4.0,0.465,0.193,8.0,647250,8.03,1194.0166833903108,6.030444964871195
11,2017,5.0,0.447,0.189,8.4,600513,8.28,1250.2393726901892,6.543138390272148
11,2018,3.0,0.496,0.197,8.6,585968,9.23,1413.3830403826867,7.155123068116771
11,2019,4.0,0.472,0.178,8.8,589734,8.13,1371.5913212492242,7.923033389926429
11,2020,5.0,0.439,0.183,,512023,10.63,1352.288466376011,7.782754759238522
11,2021,4.0,0.459,0.189,,705190,8.95,1144.5474531167974,8.44496214327315
11,2022,4.0,0.447,0.167,9.2,537602,4.93,1384.7667344540737,8.715862870424173
11,2023,23.0,0.455,,9.0,459356,2.93,1523.3966753986758,9.033005211349161
12,2014,,0.529,0.361,7.78,411538,7.8,1116.2610181813634,6.102117061021171
12,2015,,0.549,0.354,7.95,429446,8.6,1157.3996296505825,4.779411764705882
12,2016,,0.563,0.341,8.0,470429,11.03,1050.7185702608822,6.763285024154589
12,2017,,0.545,0.372,8.3,458864,14.25,1025.589806014683,7.619047619047619
12,2018,,0.558,0.347,8.4,426982,13.73,1180.2807896726067,6.916764361078546
12,2019,,0.559,0.357,8.7,449428,14.8,1113.2394011444321,8.323699421965317
12,2020,,0.515,0.35,,424967,15.35,1122.504679042041,8.200455580865604
12,2021,,0.539,0.366,,483067,15.33,1011.46758708461,8.254716981132075
12,2022,,0.523,0.332,9.4,460296,11.7,1073.6646416740416,9.507042253521128
12,2023,13.0,0.511,,9.0,473138,8.0,1074.354951007459,13.785046728971963
13,2014,3.0,0.562,0.307,8.77,1851584,7.85,1172.9381934580142,6.3470444020702805
13,2015,2.0,0.553,0.347,9.13,1952557,9.7,1109.2313662075333,7.039614561027837
13,2016,2.0,0.558,0.328,9.0,2252409,13.83,973.7683011443994,5.107951553449183
13,2017,2.0,0.591,0.325,9.4,2188462,15.85,1096.4099172736703,5.364083959575019
13,2018,2.0,0.544,0.328,9.5,2161822,14.03,1002.5260233275491,5.966343702192758
13,2019,2.0,0.566,0.329,9.8,2243333,14.15,1019.8757695415878,6.351995982927441
13,2020,1.0,0.533,0.335,,2093123,15.95,1009.4612004283591,7.739861523244312
13,2021,3.0,0.541,0.342,,2403312,14.98,914.875913795966,7.425
13,2022,4.0,0.509,0.288,10.1,2304587,10.7,990.7277376129393,7.353305273582571
13,2023,35.0,0.512,,10.1,1954064,9.65,1165.8202527092858,8.312898479646885
14,2014,,0.523,0.306,9.59,176284,6.5,1406.1863330953065,3.36322869955157
14,2015,,0.537,0.258,9.67,173003,8.6,1475.058820360269,11.37855579868709
14,2016,,0.537,0.216,9.6,188683,8.88,1416.7159802639594,12.606837606837608
14,2017,,0.526,0.231,10.0,212363,10.0,1285.1709541035457,10.266940451745379
14,2018,,0.566,0.253,10.0,206096,12.48,1529.7733300880802,7.212475633528266
14,2019,,0.58,0.273,10.4,269287,15.08,1291.3554974214653,9.25925925925926
14,2020,1.0,0.54,0.274,,274978,16.78,1158.0865664632897,6.394316163410301
14,2021,1.0,0.596,0.28,,330620,12.05,1160.3287136064623,12.020905923344948
14,2022,1.0,0.547,0.225,10.5,271867,6.13,1303.663467147089,9.322033898305085
14,2023,11.0,0.52,,10.6,218688,6.63,1428.220490725897,10.361842105263158
15,2014,58.0,0.507,0.321,7.99,4125196,7.3,1013.2362980492276,2.565051177703786
15,2015,66.0,0.515,0.297,7.95,4341494,9.0,990.6835127753604,3.2423208191126283
15,2016,63.0,0.51,0.283,8.1,4581947,11.33,924.8341662236605,3.340166405402146
15,2017,75.0,0.506,0.276,8.3,4511767,11.85,932.8567440912543,3.591456866722348
15,2018,93.0,0.562,0.282,8.5,4524719,11.23,1079.3105342288277,4.1312559017941455
15,2019,90.0,0.528,0.285,8.7,4673459,10.88,972.9527514776278,4.064945683915431
15,2020,78.0,0.48,0.265,,4031523,10.55,1047.9185662734967,4.520753844375072
15,2021,64.0,0.529,0.299,,4837487,12.58,934.2959976570472,4.698937426210153
15,2022,62.0,0.508,0.269,8.9,4147648,9.58,1112.710701849275,5.857495011151544
15,2023,115.0,0.501,,9.2,3496646,8.55,1273.0379867862644,6.141272621132517
16,2014,,0.523,0.221,9.3,349021,10.43,1202.155469407754,4.503311258278146
16,2015,,0.548,0.25,9.41,376514,11.2,1229.3908361739125,6.865284974093264
16,2016,,0.555,0.221,9.7,405903,15.78,1161.7812129058682,4.562737642585551
16,2017,1.0,0.589,0.252,9.9,445652,18.1,1175.0758477405434,5.714285714285714
16,2018,1.0,0.547,0.239,9.8,433548,20.38,1078.0707819663505,7.542579075425791
16,2019,1.0,0.513,0.234,9.8,446150,17.53,1066.4222422062244,7.279236276849643
16,2020,,0.5,0.236,,415512,14.95,1042.8816979241476,5.978898007033998
16,2021,,0.53,0.229,,496723,16.63,953.2555145306217,8.056265984654733
16,2022,,0.531,0.204,10.3,422975,12.43,1217.7348107967744,10.292249047013978
16,2023,10.0,0.491,,10.5,295396,12.85,1491.7591830498295,9.22882427307206
17,2014,,0.498,0.236,8.42,617283,7.63,1240.7438888618933,5.770536320434487
17,2015,,0.506,0.25,8.29,640693,8.73,1215.1173729811799,6.639839034205231
17,2016,1.0,0.489,0.24,8.3,650267,11.53,1139.6021421568823,6.69761273209549
17,2017,,0.495,0.238,8.6,644753,11.7,1205.690477599257,7.545931758530183
17,2018,,0.529,0.247,8.7,637185,10.7,1314.4040174476797,8.041504539559014
17,2019,,0.53,0.251,8.8,680857,11.0,1273.5131130203965,8.58974358974359
17,2020,1.0,0.485,0.233,,612790,12.03,1241.746122068037,7.419150285351934
17,2021,1.0,0.514,0.254,,695391,13.33,1192.6142424961602,10.900783289817232
17,2022,2.0,0.507,0.201,9.5,546690,6.4,1421.5249851206531,9.669046073977936
17,2023,24.0,0.477,,9.5,481838,6.15,1544.2863512964248,10.509348807221148
21,2014,43.0,0.475,0.361,7.03,4149425,6.9,758.6001914892169,3.7269804150833092
21,2015,51.0,0.495,0.353,7.08,4208182,8.75,776.1312647847756,4.067993607438617
21,2016,49.0,0.517,0.343,7.1,4354067,12.1,782.2011367803295,4.247941048981361
21,2017,51.0,0.526,0.347,7.3,4373591,14.48,784.6594022619753,4.568965517241379
21,2018,45.0,0.528,0.347,7.6,4396270,14.65,772.8861544894428,4.470789887158977
21,2019,43.0,0.531,0.348,7.8,4367409,14.53,782.1546419504315,4.743644368697629
21,2020,41.0,0.482,0.335,,4062376,16.18,818.1976810300152,4.816384180790961
21,2021,38.0,0.53,0.359,,4686688,15.83,722.710961567039,5.5579553635709145
21,2022,36.0,0.491,0.289,8.4,4065702,10.43,858.3693230806493,5.680184066724188
21,2023,112.0,0.492,,8.5,3638153,8.13,968.5256437755141,6.610145135795373
22,2014,6.0,0.516,0.287,7.11,1606186,6.6,1081.313103369801,7.556519046144317
22,2015,6.0,0.52,0.285,7.28,1592726,7.68,1107.6928130025276,8.36936380481779
22,2016,6.0,0.528,0.282,7.4,1725417,9.58,1011.7597604126919,9.88909426987061
22,2017,9.0,0.529,0.276,7.6,1731776,13.08,994.1590748177523,9.738863287250384
22,2018,11.0,0.53,0.274,7.6,1703732,12.93,1038.4731645797751,10.14093137254902
22,2019,10.0,0.537,0.281,7.7,1723148,13.05,1031.5174626550468,10.02444987775061
22,2020,7.0,0.474,0.288,,1542316,13.2,1039.6047662715318,9.5397744590064
22,2021,9.0,0.516,0.297,,1718632,13.55,973.991154536482,11.23058542413381
22,2022,15.0,0.518,0.263,8.1,1590970,10.1,1138.8744876704848,10.843014596365803
22,2023,67.0,0.552,,8.4,1503281,10.33,1326.545758042069,11.021984551396317
23,2014,85.0,0.522,0.291,7.37,4553507,7.43,1051.3413481727707,6.399819086386251
23,2015,96.0,0.528,0.286,7.48,4655920,8.95,1064.3663150976831,6.346888339698944
